date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:43	40149/40149	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:42%20GMT	https://www.puretelecom.ie/blog/fifity-would-relocate-for-better-broadband	D:/website/sunrise/www.puretelecom.ie/blog/fifity-would-relocate-for-better-broadband.html	(from https://www.puretelecom.ie/blog)
16:54:43	41193/41193	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:43%20GMT	https://www.puretelecom.ie/blog/pure-telecom-predicts-fortym-from-broadband-service	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-predicts-fortym-from-broadband-service.html	(from https://www.puretelecom.ie/blog)
16:54:44	41052/41052	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:43%20GMT	https://www.puretelecom.ie/blog/pure-telecom-in-twentym-telecoms-deal	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-in-twentym-telecoms-deal.html	(from https://www.puretelecom.ie/blog)
16:54:44	42105/42105	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:44%20GMT	https://www.puretelecom.ie/blog/pure-telecom-customer-service-in-telecoms	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-customer-service-in-telecoms.html	(from https://www.puretelecom.ie/blog)
16:54:45	19974/19974	---M--	200	added ('OK')	image/jpeg	etag:%224e06-5e713b076488a%22	https://www.puretelecom.ie/image/cache/catalog/Banners/Blog/Pure-Telecom_2-1024x747-228x228.jpg	D:/website/sunrise/www.puretelecom.ie/image/cache/catalog/Banners/Blog/Pure-Telecom_2-1024x747-228x228.jpg	(from https://www.puretelecom.ie/blog)
16:54:46	41019/41019	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:45%20GMT	https://www.puretelecom.ie/blog/pure-telecom-caps-off-great-year-with-new-customers	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-caps-off-great-year-with-new-customers.html	(from https://www.puretelecom.ie/blog)
16:54:47	40561/40561	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:46%20GMT	https://www.puretelecom.ie/blog/pure-telecom-announces-jobs-and-eighteen-investment	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-announces-jobs-and-eighteen-investment.html	(from https://www.puretelecom.ie/blog)
16:54:47	40683/40683	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:46%20GMT	https://www.puretelecom.ie/blog/pure-telecom-and-open-eir-in-deal	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-and-open-eir-in-deal.html	(from https://www.puretelecom.ie/blog)
16:54:47	41215/41215	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:47%20GMT	https://www.puretelecom.ie/blog/providing-a-fantastic-telecoms-customer-service	D:/website/sunrise/www.puretelecom.ie/blog/providing-a-fantastic-telecoms-customer-service.html	(from https://www.puretelecom.ie/blog)
16:54:48	41297/41297	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:47%20GMT	https://www.puretelecom.ie/blog/our-research-shows-more-than-half-of-young-people-plan-to-ditch-tv-licence	D:/website/sunrise/www.puretelecom.ie/blog/our-research-shows-more-than-half-of-young-people-plan-to-ditch-tv-licence.html	(from https://www.puretelecom.ie/blog)
16:54:48	41269/41269	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:48%20GMT	https://www.puretelecom.ie/blog/deal-with-dsm-will-support-jobs-and-increased-rural-broadband	D:/website/sunrise/www.puretelecom.ie/blog/deal-with-dsm-will-support-jobs-and-increased-rural-broadband.html	(from https://www.puretelecom.ie/blog)
16:54:49	43225/43225	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:48%20GMT	https://www.puretelecom.ie/blog/meet-pure-telecom-the-telecoms-provider-that-offers-a-personalised-service	D:/website/sunrise/www.puretelecom.ie/blog/meet-pure-telecom-the-telecoms-provider-that-offers-a-personalised-service.html	(from https://www.puretelecom.ie/blog)
16:54:50	20011/20011	---M--	200	added ('OK')	image/jpeg	etag:%224e2b-5e713b076488a%22	https://www.puretelecom.ie/image/cache/catalog/Banners/Blog/Pure-Telecom-Blackrock-Clinic_2-1024x736-228x228.jpg	D:/website/sunrise/www.puretelecom.ie/image/cache/catalog/Banners/Blog/Pure-Telecom-Blackrock-Clinic_2-1024x736-228x228.jpg	(from https://www.puretelecom.ie/blog)
16:54:50	41358/41358	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:49%20GMT	https://www.puretelecom.ie/blog/blackrock-clinic-treated-right-by-pure-telecom-with-seven-thousand-in-savings	D:/website/sunrise/www.puretelecom.ie/blog/blackrock-clinic-treated-right-by-pure-telecom-with-seven-thousand-in-savings.html	(from https://www.puretelecom.ie/blog)
16:54:50	41423/41423	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:50%20GMT	https://www.puretelecom.ie/blog/success-pure-telecom-boosts-customer-base-by	D:/website/sunrise/www.puretelecom.ie/blog/success-pure-telecom-boosts-customer-base-by.html	(from https://www.puretelecom.ie/blog)
16:54:51	17579/17579	---M--	200	added ('OK')	image/jpeg	etag:%2244ab-5e713b07638ea%22	https://www.puretelecom.ie/image/cache/catalog/Banners/Blog/Best-Broadband-with-or-without-landline-Pure-Telecom-1024x678-228x228.jpg	D:/website/sunrise/www.puretelecom.ie/image/cache/catalog/Banners/Blog/Best-Broadband-with-or-without-landline-Pure-Telecom-1024x678-228x228.jpg	(from https://www.puretelecom.ie/blog)
16:54:52	41586/41586	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:51%20GMT	https://www.puretelecom.ie/blog/pure-telecom-wins-best-broadband-at-the-bonkersie-national-consumer-awards	D:/website/sunrise/www.puretelecom.ie/blog/pure-telecom-wins-best-broadband-at-the-bonkersie-national-consumer-awards.html	(from https://www.puretelecom.ie/blog)
16:54:52	45061/45061	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:52%20GMT	https://www.puretelecom.ie/blog/the-five-minute-cio-shaun-oshea-pure-telecom	D:/website/sunrise/www.puretelecom.ie/blog/the-five-minute-cio-shaun-oshea-pure-telecom.html	(from https://www.puretelecom.ie/blog)
16:54:53	40972/40972	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:52%20GMT	https://www.puretelecom.ie/blog/we-are-re-hiring-advance-your-career-with-pure-telecom	D:/website/sunrise/www.puretelecom.ie/blog/we-are-re-hiring-advance-your-career-with-pure-telecom.html	(from https://www.puretelecom.ie/blog)
16:54:53	40462/40462	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:53%20GMT	https://www.puretelecom.ie/blog/were-hiring-inbound-sales-representatives-at-pure-telecom	D:/website/sunrise/www.puretelecom.ie/blog/were-hiring-inbound-sales-representatives-at-pure-telecom.html	(from https://www.puretelecom.ie/blog)
16:54:54	43493/43493	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Mar%202025%2011:24:53%20GMT	https://www.puretelecom.ie/blog/office-olympics-and-customer-service-make-pure-telecom-a-great-place-to-work	D:/website/sunrise/www.puretelecom.ie/blog/office-olympics-and-customer-service-make-pure-telecom-a-great-place-to-work.html	(from https://www.puretelecom.ie/blog)
